epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.219,2.07956,10.2916,1.38041,0.73293,0.62991,0.61828,0.34807,0.85427,1.19861,0.54654,0.00332741,0.00332741,0.00332741
2,446.531,1.73761,2.04341,1.17628,0.47013,0.39065,0.35518,0.15677,1.09274,3.22722,0.73533,0.00666034,0.00666034,0.00666034
3,667.022,1.83496,1.71245,1.37303,0.75823,0.62617,0.72749,0.35328,0.80038,9.01446,0.61957,0.00999164,0.00999164,0.00999164
4,883.862,1.74379,1.51203,1.3487,0.64324,0.69088,0.7227,0.37419,0.85151,4.93696,0.64827,0.0099945,0.0099945,0.0099945
5,1101.66,1.63004,1.30738,1.31688,0.72883,0.66168,0.72626,0.40735,0.76768,0.9865,0.68748,0.00999023,0.00999023,0.00999023
6,1322.87,1.59305,1.25169,1.28704,0.40776,0.26254,0.25016,0.11944,0.97902,14.1697,0.71326,0.00998474,0.00998474,0.00998474
7,1542.22,1.52607,1.14218,1.24295,0.3466,0.31028,0.26425,0.10513,1.14294,3.47101,0.77442,0.00997803,0.00997803,0.00997803
8,1765.28,1.48673,1.11753,1.23423,0.80868,0.74265,0.841,0.48788,0.75066,0.66191,0.63866,0.00997011,0.00997011,0.00997011
9,1984.79,1.45443,1.09397,1.21557,0.79219,0.88411,0.86263,0.50548,0.67248,0.76243,0.59632,0.00996097,0.00996097,0.00996097
10,2203.84,1.44479,1.03628,1.20749,0.77802,0.70755,0.75999,0.45833,0.66468,0.56236,0.58577,0.00995062,0.00995062,0.00995062
11,2418.65,1.39703,1.02411,1.20014,0.7882,0.86948,0.91118,0.54202,0.69063,0.61172,0.62019,0.00993906,0.00993906,0.00993906
12,2635.39,1.36753,0.97781,1.18666,0.7152,0.7215,0.73757,0.35035,0.81844,0.56239,0.6808,0.00992629,0.00992629,0.00992629
13,2856.63,1.37446,0.96054,1.18403,0.78112,0.85607,0.88118,0.53775,0.63805,0.4945,0.59475,0.00991232,0.00991232,0.00991232
14,3077.79,1.3149,0.90836,1.17243,0.7628,0.66723,0.75018,0.40202,0.72969,1.17072,0.65067,0.00989715,0.00989715,0.00989715
